lat,lon,solar_cf_mean,wind_cf_mean,dist_pipeline_km,dist_rail_km,dist_water_km,infra_score,water_score,renewable_raw,renewable_score,h2_mcda_score,h2_class
41.5,47.0,0.13488091643897998,0.00023434816378655788,735.3761655163503,416.73967190597403,416.73967190597403,8.92074943864564,19.823887641434755,0.05409297547386393,0.0,4.7577330339443415,Very low
41.5,54.8,0.17540462204007284,0.4521557637087234,666.5789868766965,381.3828806874745,381.3828806874745,15.772569938835318,28.242171264887027,0.3414553070412632,99.99999999965202,72.39083967727393,High
41.5,62.6,0.19417782786885246,0.3228853358402741,440.88431172410606,440.88431172410606,440.88431172410606,30.086095169136062,14.075163875212844,0.27140233265170544,75.62207474855366,57.28284220166901,Medium
41.5,70.4,0.18782829234972676,0.0004800545953497775,111.38692358062204,111.38692358062204,174.97797197370923,95.59331400242397,77.38619714911685,0.07541934969710058,7.421423019098958,35.55051733526665,Low
41.5,78.2,0.2148080134335155,0.004442226748900976,221.17445548040513,221.17445548040513,221.17445548040513,73.76650706520518,66.38703440942736,0.08858854142274679,12.004205895953373,32.514090406824835,Low
41.5,86.0,0.20284777663934428,0.10919418923211024,770.4022217736272,504.6749820874333,770.4022217736272,0.0,0.0,0.14665562419500386,32.21112809599673,20.937233262397875,Low
44.1,47.0,0.14671328096539163,0.2971553587943759,506.63091951849293,337.93382067085594,337.93382067085594,35.0897325436893,38.58718555455811,0.23697852766278218,63.64284114439928,54.17387108578111,Medium
44.1,54.8,0.1717274134790528,0.41775221757699404,405.3414048666511,295.2089848934013,295.2089848934013,48.95226569626399,48.759765501571124,0.31934229593781754,92.30483307128158,77.1025594608215,High
44.1,62.6,0.18328738501821493,0.39954002209204953,245.4725685755908,245.4725685755908,245.4725685755908,68.93581077128135,60.60176938676409,0.3130389672625157,90.11132056708563,81.44978593087656,Very high
44.1,70.4,0.18127249772313295,0.2887667744277356,154.67685362366868,154.67685362366868,154.67685362366868,86.98686362481826,82.21979675626937,0.24576906374589452,66.70188372494013,73.08656665961514,High
44.1,78.2,0.18378423838797814,0.10018884970003353,139.74772886603674,139.74772886603674,139.74772886603674,89.95491580877604,85.77435026999126,0.13362700517521137,27.677263497709472,48.84735697576505,Medium
44.1,86.0,0.1828505726320583,0.021850613624688868,735.9525495701916,306.26440509284095,701.264165759136,20.757385168624186,0.0,0.08625059722763664,11.190618331309864,11.425378949076249,Very low
46.7,47.0,0.15841546675774135,0.34815842927568186,373.563852892071,373.563852892071,373.563852892071,43.4700435321716,30.103844549506906,0.2722612442685056,75.92096974015271,62.55821571995963,High
46.7,54.8,0.16525556807832423,0.44688244824752477,226.65874144688135,226.65874144688135,226.65874144688135,72.67617878377479,65.08125203645683,0.33423169617984455,97.48623599238189,87.66347695727171,Very high
46.7,62.6,0.1744507137978142,0.2767321877904303,305.33235461818947,305.33235461818947,71.72239791249032,57.035115212812336,100.0,0.23581959819338386,63.23954212358712,67.51272542289409,High
46.7,70.4,0.17462747723132968,0.3592368337375706,237.0145055844664,398.41752987579514,349.1320335123867,53.324173072826824,35.92094440181268,0.2853930911350742,80.49075687783916,68.37196824543273,High
46.7,78.2,0.1801102140255009,0.4279642061272455,396.59986607312396,367.8841865493973,245.76354797697638,41.966944670147264,60.53248857691039,0.32882260928654766,95.60391312014788,79.61580574866213,High
46.7,86.0,0.18491801343351547,0.040044282113391595,591.1174124705631,316.1648466336414,441.48885508748003,29.677527431832047,13.931224979171422,0.09799377464144114,15.277158605990692,17.955342327136073,Very low
49.3,47.0,0.14704637978142077,0.3566959909228959,435.20513744343367,435.20513744343367,435.20513744343367,31.215169103507833,15.427348227753889,0.27283614646630583,76.1210315209235,58.03580654346492,Medium
49.3,54.8,0.15356876138433515,0.30851248538966336,204.44843141525502,204.44843141525502,324.87722621553036,77.09179994482432,41.69589852011182,0.24653499578753207,66.96842250107588,65.20221939268096,High
49.3,62.6,0.15783275842440803,0.3056530577839756,401.87722238192134,401.87722238192134,286.44733271852704,37.841076026451354,50.845873162255465,0.24652493804014858,66.9649224781854,58.7222957904491,Medium
49.3,70.4,0.15892121698542805,0.34983976976768943,113.74663112085993,202.54836264952232,435.75906949482913,85.60971043480569,15.2954596440883,0.27347234865478487,76.34242525231714,69.03883744758053,High
49.3,78.2,0.16350106102003642,0.23668311131682152,194.41153151699402,194.41153151699402,194.41153151699402,79.08723123412142,72.75915916262046,0.20741029119810744,53.35331004848499,61.4109716527326,High
49.3,86.0,0.1720149556010929,0.0001648305379467929,429.36110629844853,255.22169521899875,255.22169521899875,51.03481219679711,58.28054875738125,0.06890488056320523,5.154435171965367,22.299427614744097,Low
51.9,47.0,0.14125840733151185,0.18105933263220014,637.3660448019034,637.3660448019034,637.3660448019034,5.741445893158855,0.0,0.16513896251192484,38.64319531094466,26.2663661307458,Low
51.9,54.8,0.14156344262295084,0.18529494855835935,246.50897037723354,246.50897037723354,571.6770940165851,68.72976422262143,0.0,0.16780234618419596,39.57003344513385,39.46647458386129,Low
51.9,62.6,0.14294061247723136,0.18535849516592842,161.15935465379297,161.15935465379297,571.0679954948649,85.6980806819245,0.0,0.1683913420904496,39.77499973387426,42.993365963403164,Medium
51.9,70.4,0.14186797358834244,0.20450867299199055,108.08560241491314,108.08560241491314,450.0701593639169,96.24964809132084,11.8880572943055,0.1794523932305313,43.624165029726164,49.388845481732,Medium
51.9,78.2,0.1462235826502732,0.2817018938179708,95.161702800634,95.161702800634,95.161702800634,98.37553184278923,96.39007076175382,0.22751056935089176,60.34806055843482,73.35985634580355,High
51.9,86.0,0.13927027208561019,0.004873269571745569,431.53421704580194,320.076002068141,320.076002068141,43.88693464445305,42.83904712663309,0.05863207057729142,1.5795720610469342,16.22996583756608,Very low
54.5,47.0,0.12709669854280511,0.13824460383471757,835.5390496368195,835.5390496368195,888.845004398204,0.0,0.0,0.1337854417179526,27.732398261502798,18.02605886997682,Very low
54.5,54.8,0.1278281102003643,0.19318873296867564,496.84948733946436,496.84948733946436,845.6846349334041,18.9596852551303,0.0,0.1670444838613511,39.3063028724076,29.341033918091,Low
54.5,62.6,0.13233712887067398,0.12932777952574667,158.27018875504254,158.27018875504254,858.6872707454962,86.2724743784618,0.0,0.1305315192637176,26.600056929054883,34.54453187957803,Low
54.5,70.4,0.13162921789617488,0.056212193851979134,90.26730845474624,375.8315997873283,499.29460591178787,68.3037571656434,0.1679509733838407,0.08637900346965743,11.235302769009113,20.98889087899218,Low
54.5,78.2,0.1337240300546448,0.2338630270953418,259.11926948568885,259.11926948568885,259.11926948568885,66.22271666177376,57.3525548843598,0.193807428279063,48.61961275253073,53.45017485415369,Medium
54.5,86.0,0.1311939071038251,0.13586570808337975,595.8458305617422,553.9349958747323,553.9349958747323,9.547465531840297,0.0,0.13399698769155788,27.80601472071326,19.98340267483168,Very low
